month	top20_asns_by_degree
2017-11	174,6939,3356,3549,7018,8220,209,1299,6461,3257,2914,42708,701,2828,50300,12389,1836,1103,9498,9002
2017-12	174,6939,3356,3549,7018,8220,209,1299,6461,3257,2914,42708,701,50300,2828,12389,1836,9498,9002,6453
2018-01	174,6939,3356,3549,7018,8220,209,1299,6461,3257,2914,42708,701,50300,2828,12389,9498,9002,1103,6453
2018-02	6939,174,3356,3549,7018,8220,209,1299,2914,6461,3257,701,42708,50300,2828,12389,9498,1103,9002,6453
2018-03	6939,174,3356,3549,7018,8220,209,1299,2914,6461,3257,701,42708,50300,2828,12389,9498,1103,9002,1836
2018-04	6939,174,3356,3549,7018,8220,209,1299,2914,3257,6461,701,50304,42708,50300,2828,12389,9498,1103,9002
2018-05	6939,174,3356,3549,7018,8220,209,1299,2914,6461,3257,701,50304,50300,2828,12389,9498,1103,1836,9002
2018-06	6939,174,3356,3549,7018,8220,36351,209,1299,2914,6461,3257,701,50304,50300,2828,12389,9498,1103,1836
2018-07	6939,174,3356,7018,3549,8220,2914,1299,209,6461,3257,701,50304,50300,12389,2828,9498,9002,1836,6453
2018-08	6939,174,3356,7018,3549,8220,2914,1299,209,6461,3257,701,50304,50300,12389,2828,9498,9002,1836,6453
2018-09	6939,174,3356,8220,7018,3549,2914,1299,209,6461,3257,701,50304,50300,12552,12389,9498,2828,9002,33891
2018-10	6939,174,3356,7018,3549,8220,1299,2914,209,6461,3257,9002,701,50304,50300,12552,29632,12389,29208,9498
2018-11	6939,174,3356,7018,8220,3549,2914,209,1299,6461,3257,9002,701,50304,12552,50300,29632,12389,29208,9498
2018-12	6939,174,3356,8220,7018,3549,1299,2914,6461,209,3257,9002,701,20562,50304,48362,50300,33891,12389,29208
2019-01	6939,174,3356,8220,7018,3549,1299,2914,6461,209,3257,9002,701,50304,20562,39351,33891,48362,50300,29632
