node_from,node_to,weight
26,1102,27
842,1139,20
796,1141,23
1053,1144,22
571,1154,26
581,1158,26
252,1192,18
308,1262,27
192,1271,28
1081,1272,27
386,1338,22
856,1416,23
613,1457,27
265,1460,19
1449,1462,29
729,1492,19
54,1499,25
1,2,24
0,7,23
53,58,23
27,82,20
65,90,22
85,100,25
0,129,29
82,151,27
54,160,24
85,178,24
193,233,25
0,254,24
65,376,20
44,393,30
219,442,22
1,491,24
274,519,33
180,521,23
355,572,22
106,600,30
475,602,20
0,625,20
222,656,30
145,697,19
19,698,21
120,699,25
343,723,26
527,726,33
672,730,21
633,759,25
263,763,19
7,830,25
598,841,28
144,847,24
325,848,22
372,851,18
157,890,33
413,942,21
103,943,22
250,989,21
557,1072,32
503,1089,28
780,1220,26
326,1265,24
591,1389,22
1085,1389,33
1233,1406,23
54,1427,27
73,1467,23
106,126,32
7,132,26
31,190,24
192,198,22
241,265,37
269,324,31
110,330,27
112,356,24
61,445,26
332,459,25
0,462,23
13,470,24
45,481,18
41,492,25
56,512,20
565,586,21
86,611,17
429,626,27
102,628,35
38,652,16
449,661,25
381,751,30
349,760,21
191,764,26
2,786,16
210,823,25
359,834,24
93,839,26
560,896,15
565,898,27
270,912,18
925,928,27
52,968,18
110,978,21
926,1008,22
1007,1029,18
293,1051,26
192,1090,20
83,1150,16
826,1243,19
572,1250,29
84,1281,25
1201,1378,25
524,1414,23
45,1422,28
988,1437,24
172,1454,28
879,1466,24
78,1480,22
1430,1497,19
2,12,23
2,20,25
5,149,24
126,223,32
59,281,17
85,298,30
68,326,39
162,344,27
183,395,23
175,462,22
177,486,24
55,550,23
58,574,25
12,604,29
42,604,31
72,608,26
228,693,24
237,694,24
73,703,20
0,729,27
621,735,24
734,757,20
346,780,18
386,802,30
483,819,24
429,823,23
192,826,19
423,913,24
0,951,17
958,989,20
82,1035,26
620,1210,21
44,1215,26
186,1226,31
0,1260,25
1013,1297,22
1216,1303,24
112,1306,22
1135,1312,18
74,1327,20
363,1372,23
976,1393,18
620,1408,24
917,1419,19
1289,1430,23
11,14,31
11,25,30
29,44,28
29,123,23
8,159,18
43,163,32
77,165,16
112,200,24
24,207,29
0,214,25
31,328,24
8,329,24
257,358,30
52,451,28
5,510,28
11,525,25
21,547,22
46,571,24
315,573,21
328,574,27
85,582,19
630,658,24
292,669,19
340,712,25
138,718,32
450,741,22
175,752,25
110,771,19
454,774,33
43,786,23
22,805,22
688,841,23
597,855,25
266,871,24
237,887,27
44,901,29
146,919,32
288,920,23
772,975,22
86,988,26
250,997,21
451,1022,29
381,1067,18
102,1126,22
2,1135,26
677,1210,22
147,1223,35
31,1294,32
28,1301,22
1,1307,24
214,1398,25
768,1456,21
7,87,19
68,89,27
99,109,18
106,124,30
201,211,22
108,222,31
46,224,25
77,248,21
81,350,19
5,406,22
105,414,19
236,444,17
427,471,16
21,475,28
13,481,25
359,505,28
439,508,24
544,578,25
22,593,27
70,613,20
110,614,28
193,615,27
152,618,31
61,629,21
37,657,23
123,716,18
548,739,32
144,752,24
437,760,26
380,770,29
875,888,29
609,939,21
341,985,32
93,1006,24
341,1024,20
466,1089,28
0,1094,28
159,1094,19
116,1098,21
106,1149,29
498,1150,27
993,1165,26
63,1173,27
911,1187,21
877,1197,26
969,1261,30
64,1344,24
78,1429,26
152,1446,17
7,1489,27
0,6,17
0,15,20
14,35,17
2,43,28
5,54,23
9,98,22
16,121,26
93,200,26
1,219,22
33,253,25
61,314,20
257,322,29
182,323,25
332,363,25
332,371,17
38,408,22
301,427,19
10,447,31
249,450,32
22,511,26
366,513,18
29,563,23
88,572,19
276,577,26
286,608,24
40,610,21
396,662,22
41,663,17
668,711,27
21,715,32
362,731,27
281,743,23
5,810,22
362,832,18
644,845,27
447,851,24
53,860,31
170,927,23
62,943,25
335,973,20
308,977,22
225,1069,19
87,1123,25
397,1130,27
270,1170,29
736,1191,26
19,1191,29
57,1227,28
1212,1229,25
5,1258,19
555,1276,28
1009,1339,27
924,1360,23
534,1406,33
12,1428,27
671,1436,30
1126,1441,29
2,1463,18
349,1497,28
2,10,23
61,89,33
22,108,35
16,184,24
153,253,23
9,268,18
148,270,25
94,305,30
175,404,24
10,437,24
198,488,24
139,495,20
417,523,16
327,531,17
8,592,28
496,601,37
456,689,21
170,719,25
640,725,22
186,742,17
28,746,24
359,781,28
79,790,27
460,811,22
637,820,21
604,831,25
527,853,34
347,884,24
32,902,24
212,986,32
696,1043,24
187,1071,26
426,1075,30
29,1174,17
110,1211,25
7,1343,37
192,1375,25
999,1412,20
0,1422,20
699,1423,15
1435,1449,28
109,1485,29
95,112,37
60,196,28
13,216,30
73,231,18
7,259,27
16,260,26
3,408,31
44,436,30
160,514,27
2,556,33
296,635,21
570,671,24
542,674,21
532,728,17
362,773,22
52,777,25
767,815,32
398,825,28
589,845,27
369,868,21
598,893,22
23,922,24
349,996,27
35,998,26
375,1021,21
35,1146,20
399,1212,24
896,1251,23
2,1281,27
248,1284,26
506,1293,18
16,1296,29
10,1305,26
212,1341,28
53,1350,26
0,1371,29
2,1385,23
158,1452,25
259,1483,27
18,34,20
13,63,21
84,113,24
89,139,21
0,396,22
8,413,28
237,414,20
4,558,16
349,568,25
48,580,22
106,645,19
355,676,26
327,677,21
46,740,25
212,750,25
0,798,20
153,822,27
624,842,22
4,892,31
422,910,26
74,967,26
27,978,18
525,1004,24
490,1009,23
396,1053,27
338,1056,21
5,1091,18
538,1173,29
549,1198,25
425,1294,23
252,1306,21
913,1326,23
56,1338,29
430,1403,24
1147,1452,28
840,1470,22
2,7,32
0,13,29
20,32,29
22,38,22
79,82,33
19,235,22
22,271,19
250,386,19
38,399,27
2,409,24
218,416,22
0,443,23
29,456,22
10,548,17
280,597,30
616,727,22
323,772,21
676,787,16
698,858,21
71,914,17
815,1001,29
819,1032,27
624,1036,27
30,1044,21
181,1078,27
30,1101,32
918,1113,30
32,1151,29
751,1153,23
865,1216,31
29,1232,22
589,1235,29
844,1262,17
478,1292,22
1077,1357,21
1377,1407,27
10,1407,28
1393,1435,27
691,1440,34
80,1461,29
2,5,19
38,39,22
5,40,24
27,59,31
28,101,22
141,179,28
155,205,27
90,238,30
18,266,24
8,278,21
13,303,31
51,314,21
249,318,23
338,388,19
9,428,25
30,457,21
106,459,19
119,490,32
8,499,19
2,501,18
178,562,31
439,587,28
2,688,19
251,692,23
505,694,28
52,706,20
333,709,22
555,766,24
631,775,24
379,793,13
755,850,21
243,852,15
72,856,26
8,881,27
88,884,21
746,907,23
17,909,30
549,948,32
339,992,34
538,1038,27
211,1050,17
490,1077,27
450,1114,21
846,1140,20
277,1208,29
1044,1280,32
302,1285,23
276,1286,28
26,1468,27
1,17,23
58,117,30
127,152,18
245,279,17
183,295,24
174,330,21
341,395,28
58,405,19
8,464,24
213,464,19
85,465,19
20,560,12
578,615,31
1,638,26
139,666,26
150,683,22
233,690,38
69,731,24
72,808,21
467,816,18
332,822,25
555,856,33
166,865,22
684,910,26
114,931,21
180,956,29
389,973,26
36,981,27
104,1003,27
132,1052,19
252,1092,21
254,1100,33
326,1198,21
391,1200,22
1042,1311,28
267,1329,16
1218,1332,25
584,1340,16
868,1362,20
1158,1384,28
7,29,29
15,84,15
12,121,27
39,143,24
42,171,22
69,174,29
196,210,23
136,229,22
45,236,19
232,261,18
188,263,19
22,305,20
14,364,22
56,370,27
32,397,21
34,426,20
9,497,22
54,515,29
259,688,19
505,713,30
170,798,27
112,834,20
44,920,31
768,923,16
546,931,16
737,985,23
286,1021,19
286,1051,26
117,1147,31
447,1155,25
141,1194,24
697,1251,16
917,1266,18
803,1313,22
48,1329,30
279,1346,22
65,1374,28
1114,1396,24
159,1488,19
16,1488,28
1,43,29
1,76,17
2,78,17
56,136,14
2,180,27
18,207,20
32,255,18
29,335,24
27,378,19
2,387,25
52,419,22
11,468,26
155,545,34
436,549,27
91,552,22
140,575,31
146,589,20
484,621,16
73,630,20
65,639,19
37,685,19
566,789,29
804,909,20
913,927,22
899,932,22
222,1053,24
790,1061,24
10,1106,26
79,1144,25
479,1250,20
162,1268,27
79,1270,26
32,1299,24
183,1375,20
503,1376,22
64,1456,31
1,3,20
2,4,19
14,42,23
39,48,20
5,68,25
93,131,24
79,154,28
32,199,22
29,220,31
17,220,18
2,255,27
0,262,21
32,310,19
1,372,24
0,375,20
62,390,26
293,403,32
208,486,26
153,507,19
12,542,20
355,581,33
160,671,21
356,684,23
50,707,17
327,737,27
121,761,19
522,779,22
1,807,30
2,870,27
2,1002,19
478,1003,33
107,1012,26
497,1019,26
266,1034,23
160,1214,24
760,1229,25
439,1363,25
500,1365,25
115,1425,21
190,1449,24
1048,1453,34
192,1463,22
555,1490,32
73,74,25
56,78,29
44,83,20
89,104,21
51,133,29
112,167,16
73,274,29
48,275,26
3,339,36
112,381,23
452,455,31
402,474,28
118,496,23
24,508,24
326,588,18
121,641,21
0,701,19
22,708,20
464,808,30
503,893,26
809,906,28
62,1088,27
430,1129,24
916,1151,18
28,1159,19
1059,1196,22
10,1207,26
998,1273,25
214,1280,27
63,1302,24
913,1320,16
899,1381,26
412,1383,37
660,1444,28
431,1455,20
9,18,23
9,26,28
116,145,26
116,158,26
105,206,29
34,286,23
221,369,26
198,438,22
519,528,28
220,534,19
0,541,32
212,552,26
182,668,27
228,758,25
427,782,25
2,795,18
47,877,24
24,883,28
31,938,21
17,1059,33
358,1068,22
11,1131,21
722,1197,35
1084,1213,28
10,1223,28
811,1239,26
274,1302,29
160,1359,18
1283,1421,26
0,1491,17
1,28,25
131,226,37
73,240,19
206,276,25
54,281,21
214,418,26
62,453,19
175,453,22
247,522,24
612,738,23
677,778,22
525,810,27
12,812,18
2,842,16
190,863,20
344,872,19
838,888,22
755,960,31
240,994,23
39,1013,27
926,1066,23
375,1079,24
347,1097,22
1029,1121,27
205,1169,22
1024,1190,26
438,1204,22
670,1282,24
285,1339,28
80,1395,15
314,1399,29
24,1411,22
310,1498,13
0,68,27
56,86,28
45,138,24
124,172,41
0,277,23
237,290,24
113,302,32
5,309,33
346,475,23
100,479,21
50,584,18
234,590,21
431,601,21
42,639,24
400,756,27
147,788,27
0,804,26
574,873,23
187,886,23
350,1087,26
736,1092,24
487,1105,22
415,1152,23
1088,1195,25
1072,1235,30
482,1269,25
124,1291,21
1073,1310,29
184,1373,21
1,1405,27
220,1409,23
27,1409,25
1314,1444,28
9,84,27
29,105,30
19,115,26
11,122,23
52,135,26
0,164,20
0,219,22
73,259,18
106,313,29
214,332,23
45,343,22
319,417,16
156,568,24
252,599,21
461,628,30
194,631,24
146,707,17
716,799,25
235,800,16
476,861,32
335,957,28
57,971,24
704,1001,25
180,1038,21
97,1135,24
1211,1272,22
126,1290,27
0,1347,25
151,1351,28
1453,1476,17
0,8,27
10,11,21
46,100,18
155,158,18
119,188,30
27,217,21
72,258,24
211,285,20
134,291,25
183,363,21
316,419,22
112,489,23
107,526,27
357,582,25
12,594,25
200,714,27
525,716,19
6,745,16
624,811,22
93,844,27
685,960,18
215,1033,36
571,1136,24
872,1193,17
